name,trainer,IH_W1,IS_W1,PV_W1,PS_W1,SD_W1,SA_W1,IH_W2,IS_W2,PV_W2,PS_W2,SD_W2,SA_W2,IH_W3,IS_W3,PV_W3,PS_W3,SD_W3,SA_W3,IH_W4,IS_W4,PV_W4,PS_W4,SD_W4,SA_W4,IH_W5,IS_W5,PV_W5,PS_W5,SD_W5,SA_W5,IH_W6,IS_W6,PV_W6,PS_W6,SD_W6,SA_W6,IH_W7,IS_W7,PV_W7,PS_W7,SD_W7,SA_W7,IH_W8,IS_W8,PV_W8,PS_W8,SD_W8,SA_W8
Roch De Courcy,Rachel Richard,4,3,6,7,1,2,8,2,2,1,6,2,2,1,3,3,5,2,4,5,7,5,5,3,3,8,8,3,4,8,5,3,1,8,5,6,6,8,8,8,8,6,8,8,8,8,7,8
Thorin Eskriet,Rachel Richard,1,1,3,5,3,6,1,3,4,3,2,3,7,2,5,2,4,2,8,3,8,8,7,6,6,7,5,4,6,4,6,5,5,4,4,7,8,8,8,5,8,8,8,8,8,8,7,8
Weylin Comolli,Rachel Richard,3,2,1,2,6,3,2,2,6,2,2,5,2,1,5,1,3,2,5,6,4,6,2,4,6,7,6,8,5,8,3,6,4,7,8,7,8,8,8,8,5,8,8,7,8,8,8,4
Bari Streatfield,Rachel Richard,5,4,3,1,1,2,5,3,2,3,3,2,5,5,5,4,3,7,4,7,7,4,8,6,5,5,5,3,5,5,6,3,5,5,4,4,8,8,8,6,6,2,8,8,8,7,8,8
Rufe Devon,Rachel Richard,2,1,4,5,5,3,2,3,6,4,3,4,4,2,4,5,4,5,6,5,6,3,6,7,8,8,8,3,1,6,5,4,4,6,6,3,5,7,8,8,8,8,8,8,8,8,8,6
Cherrita Mcgilleghole,Rachel Richard,4,6,2,4,5,2,2,5,2,3,3,1,1,2,5,4,1,5,3,8,8,4,7,5,7,3,5,4,5,4,8,2,6,5,3,7,8,6,8,8,4,8,4,8,8,4,8,8
Adelaida Pirson,Rachel Richard,1,1,6,6,4,6,4,5,5,4,6,1,1,2,3,7,3,5,8,8,4,6,4,8,8,6,7,4,7,8,4,5,3,3,3,8,8,6,8,7,6,8,5,7,8,8,2,8
Laird Grece,Rachel Richard,1,2,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avictor Moorey,Rachel Richard,2,1,3,1,2,3,2,3,2,2,5,4,3,3,1,7,1,3,7,8,8,4,2,8,6,4,6,5,7,8,6,4,8,7,3,7,8,8,8,8,8,8,8,8,6,8,8,8
Blair Woollhead,Rachel Richard,2,2,8,3,5,5,5,8,5,3,4,6,4,4,1,5,1,3,4,6,7,7,8,7,7,8,7,4,6,8,8,4,8,8,4,8,8,6,8,8,8,7,8,8,8,8,6,4
Kalie Leadbeatter,Rachel Richard,3,3,8,2,3,3,5,4,7,3,2,1,5,2,4,4,2,1,8,7,2,3,5,5,6,1,6,8,6,4,5,6,8,8,7,3,8,8,8,2,8,8,8,8,7,4,8,8
